"Keyword","location_ids","language_id","id","location_name","language_name"
"thessaloniki history center","0000","1000",5,"Global","English"
"thessaloniki history center","0000","1022",6,"Global","Greek"
"thessaloniki history center","20377","1000",7,"Thessaloniki Region","English"
"thessaloniki history center","20377","1022",8,"Thessaloniki Region","Greek"
"thessaloniki history center","2300","1000",9,"Greece","English"
"thessaloniki history center","2300","1022",10,"Greece","Greek"
"thessaloniki history center","2840","1000",11,"USA","English"
"thessaloniki history center","2840","1022",12,"USA","Greek"
"thessaloniki history center","9061579","1000",13,"Thessaloniki City","English"
"thessaloniki history center","9061579","1022",14,"Thessaloniki City","Greek"
"ιστορικό κέντρο θεσσαλονίκης","0000","1022",17,"Global","Greek"
"ιστορικό κέντρο θεσσαλονίκης","20377","1022",18,"Thessaloniki Region","Greek"
"ιστορικό κέντρο θεσσαλονίκης","2300","1022",19,"Greece","Greek"
"ιστορικό κέντρο θεσσαλονίκης","2840","1022",20,"USA","Greek"
"ιστορικό κέντρο θεσσαλονίκης","9061579","1022",21,"Thessaloniki City","Greek"
"κεντρική βιβλιοθήκη θεσσαλονίκης","0000","1022",22,"Global","Greek"
"κεντρική βιβλιοθήκη θεσσαλονίκης","20377","1022",23,"Thessaloniki Region","Greek"
"κεντρική βιβλιοθήκη θεσσαλονίκης","2300","1022",24,"Greece","Greek"
"κεντρική βιβλιοθήκη θεσσαλονίκης","2840","1022",25,"USA","Greek"
"κεντρική βιβλιοθήκη θεσσαλονίκης","9061579","1022",26,"Thessaloniki City","Greek"
"κέντρο ιστορίας θεσσαλονίκης","0000","1022",27,"Global","Greek"
"κέντρο ιστορίας θεσσαλονίκης","20377","1022",28,"Thessaloniki Region","Greek"
"κέντρο ιστορίας θεσσαλονίκης","2300","1022",29,"Greece","Greek"
"κέντρο ιστορίας θεσσαλονίκης","2840","1022",30,"USA","Greek"
"κέντρο ιστορίας θεσσαλονίκης","9061579","1022",31,"Thessaloniki City","Greek"
"κιθ","0000","1000",32,"Global","English"
"κιθ","0000","1022",33,"Global","Greek"
"κιθ","20377","1000",34,"Thessaloniki Region","English"
"κιθ","20377","1022",35,"Thessaloniki Region","Greek"
"κιθ","2300","1000",36,"Greece","English"
"κιθ","2300","1022",37,"Greece","Greek"
"κιθ","2840","1000",38,"USA","English"
"κιθ","2840","1022",39,"USA","Greek"
"κιθ","9061579","1000",40,"Thessaloniki City","English"
"κιθ","9061579","1022",41,"Thessaloniki City","Greek"
